Vintage,Country,Designation,Points,Price,Province,Winery
2012,Italy,Thurner,87,16 ,Northeastern Italy,Colterenzio
2012,Italy,Rosso,88,25 ,Southern Italy,Tenuta Monte Gorna
2012,Italy,Vaggiolata,87,19 ,Central Italy,Monterotondo
2012,Italy,Castelgreve,87,15 ,Central Italy,Castelli del Grevepesa
2012,Italy,BramÃ¬to del Cervo,88,20 ,Central Italy,Marchesi Antinori
2012,France,La Garenne Premier Cru,94,80 ,Northeastern France ,Au Pied du Mont Chauve
2012,France,Renaissance,93,55 ,Southern France,Domaine Rotier
2012,Italy,Licoste,86,20 ,Central Italy,Domodimonti
2012,France,Vintage Brut,95,80 ,Northeastern France ,Louis Roederer
2012,Italy,Enrico VI,92,90 ,Northwestern Italy,Cordero di Montezemolo
2012,France,Steinert Grand Cru,93,38 ,Northeastern France ,Rieflé
2012,Italy,Elisena,90,32 ,Southern Italy,Wiegner
2012,Italy,Coniale,89,55 ,Central Italy,Castellare
2012,France,Réserve,86,20 ,Northeastern France ,Bouchard Père & Fils
2012,Italy,Le More,85,40 ,Southern Italy,Santa Lucia
2012,Italy,Altenasso,89,60 ,Northwestern Italy,Cavalier Bartolomeo
2012,France,Pfersigberg Grand Cru,93,59 ,Northeastern France ,Kuentz Bas
2012,Italy,Terrarossa,88,18 ,Central Italy,Melini
2012,France,Marquis de Laguiche Premier Cru Morgeot,94,131 ,Northeastern France ,Joseph Drouhin
2012,France,Les Grèves Premier Cru,93,100 ,Northeastern France ,Domaine de Bellene
2012,France,Purple Réserve,88,30 ,Southern France,Château Lagrézette
2012,Italy,Strahler,90,26 ,Northeastern Italy,Weingut Stroblhof
2012,France,La Guillotte,91,19 ,Southern France,Château Bouissel
2012,France,Steinert Grand Cru,93,38 ,Northeastern France ,Rieflé
2012,France,Corton Charlemagne Grand Cru,92,230 ,Northeastern France ,Jean Luc and Paul Aegerter
2012,France,Nouveau,86,9 ,Central France ,Henry Fessy
2012,France,Vie Vité,86,18 ,Southern France,Domaine Sainte Marie
2012,Italy,I Bastioni,88,24 ,Central Italy,Collazzi
2012,Italy,Gattera,93,49 ,Northwestern Italy,Mauro Veglio
2012,Italy,Gibe,83,19 ,Central Italy,Tenuta Pederzana
2012,France,Le Second,89,18 ,Southern France,Château Lagrave
2012,France,Clos Saint Landelin,90,75 ,Northeastern France ,René Muré
2012,France,Pfaff Gentil,84,18 ,Northeastern France ,La Cave des Vignerons de Pfaffenheim
2012,France,Cuvée Héritiers Latour,94,310 ,Northeastern France ,Louis Latour
2012,Italy,Tosius,86,14 ,Central Italy,Cantina Ma.Ri.Ca.
2012,Italy,Pistillo,89,25 ,Central Italy,Poderi San Lazzaro
2012,Italy,Campo del Guardiano,89,25 ,Central Italy,Palazzone
2012,Italy,Riserva,90,39 ,Northeastern Italy,Russiz Superiore
2012,Italy,Ugolforte,91,60 ,Central Italy,Tenuta San Giorgio
2012,France,Gariottin Sélection,85,18 ,Southern France,Pelvillain Frères
2012,Italy,Al Limite,90,24 ,Central Italy,San Leonino
2012,Italy,Cashmere Passito,90,69 ,Northeastern Italy,Elena Walch
2012,Italy,Villero,91,75 ,Northwestern Italy,Oddero
2012,Italy,BDP Y,86,12 ,Southern Italy,Baglio di Pianetto
2012,Italy,Bussia Cicala,90,100 ,Northwestern Italy,Aldo Conterno
2012,France,La Croix d Arton,88,12 ,Southern France,Domaine d Arton
2012,France,Vieilles Vignes,86,20 ,Northeastern France ,Boeckel
2012,Italy,Bussia,92,70 ,Northwestern Italy,Attilio Ghisolfi
2012,France,Les Brunettes et Planchots,91,55 ,Northeastern France ,Château de Santenay
2012,Italy,Rocche dell Annunziata,86,55 ,Northwestern Italy,Mario Gagliasso
2012,France,Domaine Pignard,85,13 ,Central France ,Jean Claude Debeaune
2012,Italy,Del Pozzo Buono,87,15 ,Central Italy,Vicari
2012,France,Esprít Barville,87,12 ,Central France ,Brotte
2012,Italy,Piegaia Riserva,87,25 ,Central Italy,Villa Calcinaia
2012,Italy,Biserno,92,160 ,Central Italy,Tenuta di Biserno
2012,Italy,Hierà,90,20 ,Southern Italy,Hauner
2012,Italy,del Comune di Serralunga d Alba,90,30 ,Northwestern Italy,Cantina del Nebbiolo
2012,France,Tradition,85,29 ,Northeastern France ,Domaine Pfister
2012,Italy,Foscarin Slavinus,88,25 ,Northeastern Italy,Monte Tondo
2012,France,Cuvée V,87,14 ,Northwestern France ,Bougrier
2012,France,Quintessence,91,40 ,Northeastern France ,Domaine Sangouard Guyot
2012,France,Héritages,86,16 ,Central France ,Ogier
2012,France,Grande Réserve,88,13 ,Southern France,Château Haut Claribes
2012,France,Les Éléments,91,26 ,Northeastern France ,Domaine Bott Geyl
2012,France,Clos des Rocs Monopole,86,36 ,Northeastern France ,Clos des Rocs
2012,France,Brune et Blonde de Guigal,91,78 ,Central France ,E. Guigal
2012,Italy,Serracapelli,88,55 ,Northwestern Italy,Poderi Elia
2012,Italy,Quarantadue42,88,34 ,Northwestern Italy,Rattalino
2012,Italy,Roncaglie,90,70 ,Northwestern Italy,Poderi Colla
2012,Italy,Pelagrilli,91,42 ,Central Italy,Siro Pacenti
2012,France,Aux Boudots Premier Cru,93,124 ,Northeastern France ,Roche de Bellene
2012,Italy,Tirso,88,27 ,Central Italy,Villa Le Prata
2012,France,Northwestern France ,87,13 ,Northwestern France ,Sauvion
2012,France,JJ Bourgogne Blanc,87,20 ,Northeastern France ,Vincent
2012,France,Procès Premier Cru,94,117 ,Northeastern France ,Joseph Drouhin
2012,Italy,Tirso,88,27 ,Central Italy,Villa Le Prata
2012,Italy,Rabajà,92,55 ,Northwestern Italy,Giuseppe Cortese
2012,Italy,Marius,86,29 ,Central Italy,Baldetti Alfonso
2012,Italy,Riserva,87,33 ,Central Italy,La Lastra
2012,France,Domaine des Emois,86,30 ,Northwestern France ,Joseph Mellot
2012,France,Seppi Landmann Zinnkoeplé Grand Cru,91,36 ,Northeastern France ,Domaine Rieflé Landmann
2012,Italy,Piegaia,89,17 ,Central Italy,Villa Calcinaia
2012,Italy,Principe Guerriero,89,28 ,Central Italy,Pagani de Marchi
2012,Italy,Monte Zoppega,86,19 ,Northeastern Italy,Nardello
2012,France,Letzenberg,91,53 ,Northeastern France ,Jean Baptiste Adam
2012,Italy,Il Pigno,86,24 ,Northeastern Italy,Marcato
2012,Italy,Riserva,86,24 ,Central Italy,Sensi
2012,Italy,Per Sempre,90,300 ,Central Italy,Tua Rita
2012,France,Rolling Stone Grenache,87,10 ,Southern France,Pierre Qui Roule
2012,Italy,Amabile,86,12 ,Central Italy,Bigi
2012,Italy,Paolin,88,35 ,Northwestern Italy,Cascina Luisin
2012,France,Le Montarlet,87,20 ,Northwestern France ,Joseph Mellot
2012,France,Clos Liebenberg,93,58 ,Northeastern France ,Zusslin
2012,Italy,Margheria,92,85 ,Northwestern Italy,Azelia
2012,France,Goldert Grand Cru,95,85 ,Northeastern France ,Domaine Zind Humbrecht
2012,Italy,Sorano,86,75 ,Northwestern Italy,Ascheri
2012,Italy,Prima Volta Millesimato Dry,87,18 ,Northeastern Italy,Giavi
2012,Italy,Moreccio,86,40 ,Central Italy,Casa di Terra
2012,Italy,Capatosta,91,35 ,Central Italy,Poggio Argentiera
2012,France,Marie Antoinette,86,29 ,Northeastern France ,Vincent
2012,Italy,Bricco Luciani,88,75 ,Northwestern Italy,Cascina del Monastero
2012,France,Fourchaume Premier Cru,85,50 ,Northeastern France ,Domaine Vrignaud
2012,Italy,Poggio Bestiale,90,60 ,Central Italy,Fattoria di Magliano
2012,France,Terroir,89,18 ,Northeastern France ,Domaine Zinck
2012,Italy,Villa Piatti,88,22 ,Central Italy,Collevite
2012,France,Clos Paradis,91,24 ,Northwestern France ,Domaine Fouassier
2012,France,Northwestern France ,86,12 ,Northwestern France ,Sauvion
2012,Italy,Capotondo,90,20 ,Central Italy,Castelvecchi
2012,Italy,Mentore,88,14 ,Central Italy,Fattoria Mantellassi
2012,Italy,Paolus,88,20 ,Central Italy,Molino di Sant Antimo
2012,France,Expression,92,23 ,Southern France,Château Lamartine
2012,Italy,Rosso delle Rose,86,15 ,Southern Italy,Masseria del Feudo
2012,Italy,Bric Baitin,87,50 ,Northwestern Italy,Moccagatta
2012,Italy,Villa Torre,88,14 ,Central Italy,Tenuta di Tavignano
2012,France,Cuvée Prédilection Brut,91,20 ,Northwestern France ,Château Moncontour
2012,France,Rangen Grand Cru,90,40 ,Northeastern France ,Wolfberger
2012,Italy,Animae Brut Millesimato,85,26 ,Northeastern Italy,Perlage
2012,France,Grand Vin,89,25 ,Southern France,Château la Baronnerie
2012,France,Château la Croix,87,30 ,Southern France,Château Roc de Boissac
2012,Italy,Carato,87,10 ,Central Italy,Erik Banti
2012,Italy,Villa Antinori Riserva,91,35 ,Central Italy,Marchesi Antinori
2012,France,Clisson,93,25 ,Northwestern France ,Domaine de la Pepière
2012,France,Les Deux Moulins,87,23 ,Northeastern France ,Louis Latour
2012,France,Cuvée les Rochettes,91,20 ,Northwestern France ,Domaine les Pins
2012,France,La Roche,87,17 ,Northeastern France ,Domaine Sangouard Guyot
2012,Italy,Bussia,88,55 ,Northwestern Italy,Giacosa Fratelli
2012,France,Excellence,84,28 ,Southern France,Château Tour Saint Germain
2012,Italy,Corte Giacobbe,85,12 ,Northeastern Italy,Dal Cero Tenuta di Corte Giacobbe
2012,Italy,Helios,86,26 ,Southern Italy,Di Giovanna
2012,Italy,Monvigliero,92,67 ,Northwestern Italy,Paolo Scavino
2012,Italy,Greppicante,87,20 ,Central Italy,I Greppi
2012,France,Cuvée 1610,92,38 ,Southern France,Château Grand Boise
2012,France,Jadis,95,55 ,Northwestern France ,Henri Bourgeois
2012,Italy,Bade,87,20 ,Northeastern Italy,Valdellövo
2012,France,La Maltroie Premier Cru,93,80 ,Northeastern France ,Au Pied du Mont Chauve
2012,France,Cuvée Silice,88,25 ,Northwestern France ,Francis Blanchet
2012,Italy,Ginestra,90,100 ,Northwestern Italy,Seghesio
2012,France,La Folle Noire d Ambat,88,19 ,Southern France,Le Roc
2012,Italy,San Carlo,88,29 ,Northwestern Italy,Dezzani
2012,Italy,Cutaja Riserva,87,14 ,Southern Italy,Caruso & Minini
2012,France,La Croix Barton Merlot Cabernet Sauvignon,85,10 ,Southern France,Schröder & SchÃ¿ler
2012,Italy,Rugaro Gold,89,17 ,Central Italy,Colli Ripani
2012,Italy,Cannubi Boschis,94,165 ,Northwestern Italy,Sandrone
2012,France,Classic,89,16 ,Southern France,Château Famaey
2012,Italy,Paleo Bianco,88,75 ,Central Italy,Le Macchiole
2012,France,Château la Croix,87,30 ,Southern France,Château Roc de Boissac
2012,Italy,San Giacomo,88,70 ,Northwestern Italy,Stroppiana
2012,Italy,Nizza La Vigna dell Angelo,88,85 ,Northwestern Italy,Cascina La Barbatella
2012,Italy,Rocche di Castelletto,87,75 ,Northwestern Italy,Cascina Chicco
2012,Italy,Ravera di Monforte,93,45 ,Northwestern Italy,Rocca Giovanni
2012,Italy,Sotirio,89,32 ,Central Italy,PoderNuovo a Palazzone
2012,France,Le Charmois Premier Cru,88,40 ,Northeastern France ,Au Pied du Mont Chauve
2012,Italy,Crosè ,87,19 ,Northwestern Italy,Pasquale Pelissero
2012,Italy,Ferraiolo,86,40 ,Central Italy,Agricoltori del Chianti Geografico
2012,Italy,Donna Luciana,87,18 ,Northwestern Italy,Moscone
2012,Italy,Insoglio del Cinghiale,91,30 ,Central Italy,Campo di Sasso
2012,Italy,Serraboella,93,90 ,Northwestern Italy,Rivetti Massimo
2012,Italy,Selvecorte,88,23 ,Southern Italy,Contrada Michele
2012,Italy,Cutizzi,90,37 ,Southern Italy,Feudi di San Gregorio
2012,Italy,Terre di Cino,91,29 ,Central Italy,Fattoria Torre a Cona
2012,Italy,Aculei,85,47 ,Northwestern Italy,La Bioca
2012,Italy,Bussia Trentaquattro 34,86,75 ,Northwestern Italy,Rattalino
2012,France,Breezette,86,18 ,Southern France,Domaine de la Sanglière
2012,Italy,Ammiraglia,90,55 ,Central Italy,Marchesi de  Frescobaldi
2012,Italy,Riva dei Fiori Brut,86,23 ,Northeastern Italy,Montesel
2012,Italy,Perenzo,89,65 ,Central Italy,Fattoria di Magliano
2012,Italy,Monte dei Cocci,86,10 ,Southern Italy,Tenute Girolamo
2012,France,Château Tour Pibran,91,32 ,Southern France,Château Pibran
2012,Italy,Costamolino,89,16 ,Southern Italy,Argiolas
2012,Italy,Riserva,92,55 ,Central Italy,Nittardi
2012,Italy,Luigi e Giovanna,88,50 ,Central Italy,Barberani
2013,France,Fourchaume Premier Cru,92,46 ,Northeastern France ,Domaine Gérard Duplessis
2013,France,Les Églantiers,89,15 ,Central France ,Brotte
2013,France,Terres de Saint Louis,84,12 ,Southern France,Estandon
2013,France,Fronholz,92,57 ,Northeastern France ,Domaine Ostertag
2013,France,Merlot du Château Sainte Barbe,84,14 ,Southern France,Château Sainte Barbe
2013,France,Cuvée Marie Antoinette,89,39 ,Northeastern France ,Vincent
2013,Italy,Montesodi,93,44 ,Central Italy,Marchesi de  Frescobaldi
2013,Italy,Turian,88,24 ,Northeastern Italy,Collavini
2013,France,Rotenberg,93,60 ,Northeastern France ,Domaine Zind Humbrecht
2013,France,Rosenberg,90,25 ,Northeastern France ,Domaine Ehrhart
2013,Italy,Chiaramonte,85,15 ,Southern Italy,Firriato
2013,Italy,SorÃ¬ Paitin,91,48 ,Northwestern Italy,Paitin
2013,Italy,Bianco,89,25 ,Southern Italy,Cantine Russo
2013,France,Rosé de Guiet,86,14 ,Southern France,Château Tour de Guiet
2013,Italy,Velthune,88,40 ,Central Italy,Tenuta Poggio Rosso
2013,France,Les Rugiens Premier Cru,91,109 ,Northeastern France ,Jean Luc and Paul Aegerter
2013,Italy,Ca  Brione,89,36 ,Northwestern Italy,Nino Negri
2013,Italy,Bricco Boschis,96,90 ,Northwestern Italy,Cavallotto
2013,France,Quat  Saisons,90,24 ,Southern France,Château la Mascaronne
2013,France,Côte de Py Vieilles Vignes,91,28 ,Central France ,Laurent Gauthier
2013,Italy,Polissena,87,28 ,Central Italy,Il Borro
2013,France,Vaillons Premier Cru,92,52 ,Northeastern France ,Domaine Christian Moreau Père et Fils
2013,France,Aydie l Origine,90,14 ,Southern France,Château d Aydie
2013,France,Domaine des Muretins,85,20 ,Central France ,Dauvergne & Ranvier
2013,France,Valmur Grand Cru,96,62 ,Northeastern France ,Domaine Jean Paul et Benoît Droin
2013,France,Les Demoiselles,97,476 ,Northeastern France ,Louis Jadot
2013,France,Tradition,86,17 ,Northeastern France ,Domaine Michel Fonne
2013,France,Sonnenberg,92,28 ,Northeastern France ,Maurice Schoech & Fils
2013,France,Vers Châne,92,40 ,Northeastern France ,Château de Lavernette
2013,France,Sur la Carrière,86,43 ,Northeastern France ,Domaine de la Croix Senaillet
2013,France,Les Papilles,88,15 ,Southern France,Les Vignobles Gueissard
2013,France,Zellberg,93,58 ,Northeastern France ,Domaine Ostertag
2013,Italy,Siepi,91,140 ,Central Italy,Mazzei
2013,France,Réserve,88,13 ,Southern France,Château Bélingard
2013,France,Côte Chalonnaise,87,23 ,Northeastern France ,Louis Max
2013,Italy,Cenerentola Rosso,92,47 ,Central Italy,Donatella Cinelli Colombini
2013,France,Marissou Premier Cru,89,37 ,Northeastern France ,Domaine Ninot
2013,France,Les Morgeots Premier Cru,91,112 ,Northeastern France ,Jean Luc and Paul Aegerter
2013,Italy,Contrada S,93,63 ,Southern Italy,Passopisciaro
2013,France,Le Château,88,20 ,Southern France,Château Thuerry
2013,Italy,Poggio al Tufo,86,15 ,Central Italy,Tommasi
2013,France,Camp Romain,88,16 ,Central France ,Laudun Chusclan
2013,Italy,Tenute di Altavilla,89,22 ,Southern Italy,Villa Matilde
2013,Italy,Il Mascalese,87,25 ,Southern Italy,Antichi Vinai 1877
2013,France,La Source,91,21 ,Southern France,Château Vignelaure
2013,France,Vade Retro,86,18 ,Central France ,Dauvergne & Ranvier
2013,Italy,Lurens,85,60 ,Northwestern Italy,La Bioca
2013,France,Hors Classe,88,23 ,Northeastern France ,Domaine des Valanges
2013,France,Creux de la Net Premier Cru,92,52 ,Northeastern France ,Jean Luc and Paul Aegerter
2013,France,Tradition,86,23 ,Northeastern France ,Cave de Turckheim
2013,France,Les Grands Illustres Sur Lie,92,27 ,Northwestern France ,Chateau de l Oiselinière
2013,France,Terre Promise,88,20 ,Southern France,Château Henri Bonnaud
2013,France,Bonbon,92,29 ,Southern France,Domaine des Diables
2013,Italy,Garblèt Suè,98,83 ,Northwestern Italy,Brovia
2013,Italy,Heba,90,20 ,Central Italy,Fattoria di Magliano
2013,Italy,Anrar Riserva,91,63 ,Northeastern Italy,Andriano
2013,Italy,Sarmassa,88,75 ,Northwestern Italy,Virna Borgogno
2013,Italy,1265,87,12 ,Central Italy,Uggiano
2013,France,Cuvée Théo,93,35 ,Northeastern France ,Domaine Weinbach
